t,dayofweek,weekend,y,y_t_1
23,1,0,7.503047619047619,10.540695652173913
24,2,0,7.455363636363637,7.503047619047619
25,3,0,8.491,7.455363636363637
26,4,0,7.625119999999999,8.491
27,5,0,6.409,7.625119999999999
28,6,1,7.988727272727274,6.409
29,0,1,8.514863636363636,7.988727272727274
30,1,0,8.235583333333333,8.514863636363636
31,2,0,7.431736842105264,8.235583333333333
1,3,0,8.536,7.431736842105264
2,4,0,10.691678571428572,8.536
3,5,0,9.793000000000001,10.691678571428572
4,6,1,8.999952380952381,9.793000000000001
5,0,1,8.689,8.999952380952381
6,1,0,8.528451612903226,8.689
7,2,0,9.38328,8.528451612903226
8,3,0,7.802730769230769,9.38328
9,4,0,10.421815789473683,7.802730769230769
10,5,0,8.834485714285714,10.421815789473683
11,6,1,9.628029411764706,8.834485714285714
12,0,1,10.7976,9.628029411764706
13,1,0,8.694666666666668,10.7976
14,2,0,9.030238095238095,8.694666666666668
15,3,0,8.126444444444445,9.030238095238095
16,4,0,11.222827586206897,8.126444444444445
17,5,0,8.608111111111112,11.222827586206897
18,6,1,8.43875,8.608111111111112
19,0,1,8.921619047619046,8.43875
20,1,0,8.66435,8.921619047619046
21,2,0,8.04028125,8.66435
22,3,0,10.728290322580644,8.04028125
23,4,0,10.259457142857144,10.728290322580644
24,5,0,7.9608965517241375,10.259457142857144
25,6,1,8.785625,7.9608965517241375
26,0,1,9.6331,8.785625
27,1,0,10.064151515151515,9.6331
28,2,0,8.8375,10.064151515151515
29,3,0,7.0311875,8.8375
30,4,0,9.165558823529413,7.0311875
31,5,0,7.830148148148147,9.165558823529413
1,6,1,9.022222222222222,7.830148148148147
2,0,1,5.549529411764706,9.022222222222222
3,1,0,8.8505,5.549529411764706
4,2,0,11.800944444444445,8.8505
5,3,0,7.780187499999999,11.800944444444445
6,4,0,9.229548387096774,7.780187499999999
7,5,0,11.06411111111111,9.229548387096774
8,6,1,6.898000000000001,11.06411111111111
9,0,1,6.763000000000001,6.898000000000001
